code_uic,code_departement,code_postal,longitude,latitude
87988709,93,93140,2.487751,48.89317
87686006,75,75012,2.37352,48.844888
87681825,94,94190,2.446011,48.730113
87681247,94,94700,2.43148,48.78934
87547000,75,75013,2.364891,48.842285
87547026,75,75013,2.364891,48.842285
87546226,94,94310,2.417366,48.7454924
87543181,75,75016,2.275149,48.85645
87393207,92,92370,2.1882472,48.8047497
87393116,92,92360,2.2296743,48.8190033
87393082,92,92190,2.2409045,48.8079884
87393074,92,92130,2.2593469,48.8201001
87393033,75,75007,2.3150151,48.8619133
87382358,92,92210,2.21687,48.84541
87382200,92,92400,2.24804,48.89831
87381111,75,75017,2.31425,48.88755
87271411,93,93600,2.49431,48.93179
87271163,93,93380,2.37213,48.96409
87271148,93,93800,2.3026142,48.9542084
87271122,93,93800,2.32865,48.95838
87271015,93,93200,2.3459524,48.9354933
87113886,93,93190,2.516874,48.922211
87113878,93,93320,2.506475,48.897109
87113860,93,93320,2.517109,48.908159
87113779,94,94500,2.511884,48.824926
87113696,93,93110,2.480987,48.882568
87113472,93,93340,2.512062,48.889325
87113217,93,93130,2.459306,48.896288
87686667,75,75012,2.38278,48.83917
87697334,93,93240,2.39209,48.9548
87697342,93,93120,2.4115,48.9439
87608802,94,94600,2.4352763,48.7715403
87546192,94,94150,2.372792,48.748163
87545293,94,94400,2.402229,48.800768
87431791,93,93270,2.51502,48.930895
87393306,92,92130,2.2635936,48.8295555
87393108,92,92190,2.2410999,48.8147527
87393058,75,75015,2.2892141,48.8551134
87393041,75,75007,2.3010287,48.8625705
87391565,92,92140,2.2733273,48.813844
87386300,92,92250,2.257909,48.913408
87382374,92,92150,2.22131,48.87155
87382267,92,92420,2.15255,48.83688
87381046,75,75016,2.272238,48.8644077
87381020,75,75017,2.284516,48.877983
87271205,92,92230,2.30699,48.93368
87271023,75,75010,2.355151,48.880185
87164780,93,93200,2.35134,48.91779
87113803,93,93160,2.579828,48.823182
87113704,93,93110,2.48559,48.87099
87654798,75,75019,2.37397,48.89602
87697359,93,93350,2.42316,48.93076
87988717,93,93190,2.51504,48.91646
87686030,75,75012,2.37352,48.844888
87546317,92,92160,2.3126207,48.748143
87545285,94,94600,2.411102,48.763974
87545277,94,94290,2.426084,48.739908
87543207,75,75016,2.279969,48.853322
87393322,75,75015,2.2712276,48.839464
87393124,92,92310,2.2147536,48.8214311
87393066,75,75015,2.2768401,48.8462046
87391532,92,92170,2.2920988,48.8181959
87386003,92,92250,2.2396414,48.9093952
87382382,92,92800,2.2335,48.88351
87382366,92,92210,2.21636,48.85645
87382333,92,92370,2.18785,48.81213
87382259,92,92380,2.18692,48.83839
87382002,92,92400,2.26838,48.90592
87681809,94,94190,2.438192,48.745198
87681155,94,94700,2.426977,48.802071
87281873,75,75010,2.35835,48.87986
87272146,92,92230,2.31441,48.92007
87271478,93,93150,2.47747,48.93248
87271437,93,93420,2.5667,48.94467
87271304,93,93120,2.38443,48.9242
87547315,75,75005,2.34545,48.85348
87546200,94,94310,2.40265,48.741815
87113712,94,94120,2.489097,48.854238
87113209,93,93500,2.400685,48.898096
87545301,94,94200,2.39099,48.814371
87111278,75,75017,2.31462,48.89399
87492108,94,94400,2.409046,48.782945
87386318,92,92000,2.2158277,48.90122
87384008,75,75008,2.325331,48.876242
87382341,92,92310,2.20051,48.82746
87382218,92,92800,2.23763,48.89308
87381038,75,75016,2.2756167,48.870971
87381012,75,75017,2.2979465,48.8853581
87271403,93,93700,2.45497,48.93298
87271395,93,93350,2.42571,48.93096
87271007,75,75010,2.355151,48.880185
87271031,75,75010,2.355151,48.880185
87164798,93,93200,2.36257,48.91839
87113894,93,93270,2.519019,48.926637
87113795,94,94350,2.541761,48.823039
87113407,93,93140,2.4786,48.894208
87113001,75,75010,2.358424,48.876742
87547307,75,75007,2.325671,48.86079
87546291,94,94150,2.35298,48.74032
87545269,94,94480,2.419151,48.725468
87391003,75,75015,2.320514,48.841172
87391102,75,75015,2.320514,48.841172
87381137,92,92600,2.28324,48.9058
87381129,92,92110,2.2982,48.89678
87381095,92,92700,2.26056,48.93093
87381087,92,92700,2.25939,48.92383
87381079,92,92270,2.27256,48.91348
87328328,75,75013,2.37684,48.82984
87281899,75,75009,2.32862,48.87478
87271486,93,93420,2.51382,48.97334
87271460,93,93290,2.56135,49.00956
87271452,93,93420,2.51205,48.96292
87271445,93,93270,2.52474,48.94743
87271429,93,93270,2.53484,48.93601
87271247,93,93400,2.32257,48.90531
87113852,93,93320,2.511781,48.902418
87113845,93,93250,2.499415,48.89244
87113746,94,94130,2.494331,48.838846
87113522,93,93220,2.552692,48.877129
87113514,93,93220,2.527106,48.883125
87697318,93,93430,2.34251,48.96
